
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][8][6] Writing EVENT d=9, t=1357, d_res=0, t_res=1357
[ENCODE] [0][8][7] Writing EVENT d=10, t=2453, d_res=1, t_res=2453
[ENCODE] [0][8][8] Writing EVENT d=10, t=2473, d_res=0, t_res=2473
[ENCODE] [0][8][9] Writing EVENT d=10, t=2497, d_res=0, t_res=2497
[ENCODE] [0][8][10] Writing EVENT d=10, t=2532, d_res=0, t_res=2532
[ENCODE] [0][8][11] Writing EVENT d=10, t=2525, d_res=0, t_res=2525
[ENCODE] [0][8][12] Writing EVENT d=10, t=2540, d_res=0, t_res=2540
[ENCODE] [0][8][13] Writing EVENT d=9, t=1277, d_res=-1, t_res=1277
[ENCODE] [0][8][14] Writing EVENT d=10, t=2233, d_res=1, t_res=2233
[ENCODE] [0][8][15] Writing EVENT d=10, t=2342, d_res=0, t_res=2342
[ENCODE] [0][9][0] Writing EVENT d=9, t=1489, d_res=-1, t_res=1489
[ENCODE] [0][9][1] Writing EVENT d=8, t=678, d_res=-1, t_res=678
[ENCODE] [0][9][2] Writing EVENT d=9, t=1635, d_res=1, t_res=1635
[ENCODE] [0][9][3] Writing EVENT d=9, t=1362, d_res=0, t_res=1362
[ENCODE] [0][9][4] Writing EVENT d=10, t=2510, d_res=1, t_res=2510
[ENCODE] [0][9][5] Writing EVENT d=9, t=1857, d_res=-1, t_res=1857
[ENCODE] [0][9][6] Writing EVENT d=9, t=1608, d_res=0, t_res=1608
[ENCODE] [0][9][7] Writing EVENT d=10, t=2451, d_res=1, t_res=2451
[ENCODE] [0][9][8] Writing EVENT d=10, t=2500, d_res=0, t_res=2500
[ENCODE] [0][9][9] Writing EVENT d=10, t=2486, d_res=0, t_res=2486
[ENCODE] [0][9][10] Writing EVENT d=10, t=2489, d_res=0, t_res=2489
[ENCODE] [0][9][11] Writing EVENT d=10, t=2479, d_res=0, t_res=2479
[ENCODE] [0][9][12] Writing EVENT d=10, t=2530, d_res=0, t_res=2530
[ENCODE] [0][9][13] Writing EVENT d=10, t=2550, d_res=0, t_res=2550
[ENCODE] [0][9][14] Writing EVENT d=10, t=2535, d_res=0, t_res=2535
[ENCODE] [0][9][15] Writing EVENT d=10, t=2463, d_res=0, t_res=2463
[ENCODE] [0][10][0] Writing EVENT d=9, t=1434, d_res=-1, t_res=1434
[ENCODE] [0][10][1] Writing EVENT d=9, t=1292, d_res=0, t_res=1292
